# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pbat/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pbat/pbat_GC125657.bam_counts.out" "/home/jasper/Test_data/GC125657.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125657.bam
c_000000000979_1	c_000000000979	2	778	+	777	2
c_000000001998_1	c_000000001998	2	778	+	777	0
c_000000013326_3	c_000000013326	960	2072	+	1113	0
c_000000020917_1	c_000000020917	3	344	-	342	1
c_000000057536_2	c_000000057536	497	1066	-	570	0
c_000000065155_2	c_000000065155	263	634	-	372	0
c_000000067367_1	c_000000067367	3	692	-	690	8
c_000000069061_4	c_000000069061	2885	4123	-	1239	0
c_000000078623_4	c_000000078623	2781	3944	+	1164	0
c_000000082899_1	c_000000082899	1	1080	+	1080	14
c_000000090301_9	c_000000090301	7110	8258	-	1149	0
c_000000098763_2	c_000000098763	931	2169	+	1239	0
c_000000102490_2	c_000000102490	129	638	-	510	1
c_000000115185_1	c_000000115185	2	235	+	234	0
c_000000117828_1	c_000000117828	2	697	+	696	0
c_000000121725_1	c_000000121725	63	947	-	885	3
c_000000124080_1	c_000000124080	2	247	+	246	5
c_000000160990_2	c_000000160990	1177	3507	+	2331	0
c_000000175685_1	c_000000175685	2	682	+	681	8
c_000000177660_3	c_000000177660	1281	2210	-	930	0
c_000000187120_1	c_000000187120	2	973	+	972	6
c_000000194419_2	c_000000194419	859	1944	-	1086	0
c_000000195848_4	c_000000195848	1743	2819	-	1077	0
c_000000201046_2	c_000000201046	888	2090	-	1203	0
c_000000211794_1	c_000000211794	27	749	-	723	5
c_000000212434_1	c_000000212434	3	632	-	630	16
c_000000214815_1	c_000000214815	3	323	-	321	11
c_000000221338_1	c_000000221338	3	425	+	423	0
c_000000226128_1	c_000000226128	3	578	+	576	3
c_000000232380_2	c_000000232380	276	1514	+	1239	0
c_000000236096_1	c_000000236096	109	1110	+	1002	16
c_000000238816_1	c_000000238816	3	776	+	774	37
c_000000253879_1	c_000000253879	1	396	-	396	1
c_000000261297_1	c_000000261297	3	341	-	339	2
c_000000272781_2	c_000000272781	1357	2694	+	1338	0
c_000000276309_1	c_000000276309	2	619	+	618	1
c_000000285132_4	c_000000285132	3020	4300	+	1281	0
c_000000304881_2	c_000000304881	65	373	-	309	78
c_000000304933_9	c_000000304933	5072	5983	+	912	0
c_000000330326_4	c_000000330326	2064	3359	-	1296	0
c_000000332469_2	c_000000332469	103	1221	-	1119	0
c_000000346794_1	c_000000346794	77	487	+	411	7
c_000000354428_1	c_000000354428	96	527	-	432	4
c_000000354819_2	c_000000354819	669	1784	+	1116	0
c_000000395072_1	c_000000395072	5	334	-	330	2
c_000000411153_3	c_000000411153	1855	3123	-	1269	0
c_000000414582_1	c_000000414582	3	983	-	981	4
c_000000418954_1	c_000000418954	3	389	-	387	4
c_000000429586_2	c_000000429586	278	586	-	309	0
c_000000434676_1	c_000000434676	1	426	-	426	2
c_000000435785_2	c_000000435785	500	1081	+	582	20
c_000000448892_1	c_000000448892	48	614	-	567	1
c_000000451814_1	c_000000451814	52	282	-	231	4
c_000000452459_1	c_000000452459	1	351	-	351	0
c_000000453194_1	c_000000453194	1	492	+	492	0
c_000000474083_1	c_000000474083	35	907	+	873	0
c_000000484262_1	c_000000484262	3	350	-	348	6
c_000000496845_18	c_000000496845	17101	19482	+	2382	0
c_000000540606_2	c_000000540606	521	1063	-	543	24
c_000000552422_1	c_000000552422	2	613	-	612	0
c_000000552444_1	c_000000552444	1	651	+	651	5
c_000000569679_1	c_000000569679	3	398	+	396	0
c_000000572366_2	c_000000572366	561	1904	-	1344	0
c_000000590161_1	c_000000590161	3	545	+	543	0
c_000000610191_3	c_000000610191	2767	4077	+	1311	0
c_000000629961_1	c_000000629961	1	723	-	723	0
c_000000637676_3	c_000000637676	1212	2450	+	1239	0
c_000000641682_1	c_000000641682	3	467	-	465	0
c_000000651350_1	c_000000651350	293	1303	+	1011	0
c_000000659178_2	c_000000659178	307	924	+	618	0
c_000000681769_1	c_000000681769	1	786	+	786	0
c_000000684111_1	c_000000684111	74	724	+	651	0
c_000000688111_1	c_000000688111	1	792	+	792	0
c_000000688133_2	c_000000688133	283	702	-	420	0
c_000000705178_1	c_000000705178	2	808	+	807	0
c_000000710130_2	c_000000710130	369	1061	-	693	0
c_000000720221_2	c_000000720221	745	1056	-	312	0
c_000000725984_2	c_000000725984	403	1236	-	834	0
c_000000755065_1	c_000000755065	3	656	+	654	0
c_000000759085_1	c_000000759085	1	357	-	357	0
c_000000768320_1	c_000000768320	3	1589	+	1587	0
c_000000807496_1	c_000000807496	2	508	+	507	0
c_000000810578_3	c_000000810578	1246	2067	-	822	0
c_000000847166_1	c_000000847166	2	403	-	402	0
c_000000847199_7	c_000000847199	4536	5063	-	528	0
c_000000871693_3	c_000000871693	1404	2687	-	1284	0
c_000000901605_1	c_000000901605	2	466	+	465	0
c_000000905679_1	c_000000905679	1	504	-	504	0
c_000000908867_10	c_000000908867	15019	16329	+	1311	0
c_000000914068_2	c_000000914068	584	1348	-	765	0
c_000000931758_1	c_000000931758	51	914	-	864	0
