# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pha/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/pha/pha_GC125657.bam_counts.out" "/home/jasper/Test_data/GC125657.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125657.bam
c_000000042307_1	c_000000042307	106	1086	-	981	6
c_000000122153_2	c_000000122153	418	1167	-	750	6
c_000000123926_1	c_000000123926	1	1044	+	1044	0
c_000000142744_4	c_000000142744	1287	2675	-	1389	0
c_000000145919_1	c_000000145919	3	806	+	804	2
c_000000152950_1	c_000000152950	2	961	+	960	2
c_000000174138_2	c_000000174138	205	1446	-	1242	16
c_000000242292_4	c_000000242292	2893	3714	+	822	0
c_000000248846_1	c_000000248846	202	1011	+	810	2
c_000000294939_2	c_000000294939	279	1550	+	1272	26
c_000000345395_35	c_000000345395	29173	30477	-	1305	0
c_000000418853_1	c_000000418853	3	1064	-	1062	3
c_000000464462_5	c_000000464462	3223	4002	-	780	0
c_000000571870_2	c_000000571870	1166	2518	+	1353	0
c_000000617847_22	c_000000617847	18279	19424	-	1146	0
c_000000714264_1	c_000000714264	3	875	+	873	0
c_000000740272_2	c_000000740272	215	1540	-	1326	0
c_000000840146_2	c_000000840146	539	1546	-	1008	0
c_000000847199_3	c_000000847199	1640	2434	+	795	0
c_000000964748_4	c_000000964748	2320	3669	+	1350	0
c_000000968359_6	c_000000968359	5609	6823	-	1215	0
c_000000976453_1	c_000000976453	2	871	-	870	0
c_000001010230_1	c_000001010230	3	1217	-	1215	0
c_000001066008_1	c_000001066008	3	854	+	852	0
c_000001290810_39	c_000001290810	30767	31996	+	1230	0
c_000001295780_1	c_000001295780	3	1163	-	1161	0
