# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/phb/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/phb/phb_GC125633.bam_counts.out" "/home/jasper/Test_data/GC125633.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125633.bam
c_000000026214_2	c_000000026214	763	1638	-	876	0
c_000000044040_1	c_000000044040	3	2408	+	2406	1
c_000000047290_11	c_000000047290	7179	8444	+	1266	0
c_000000063057_4	c_000000063057	2327	3007	-	681	0
c_000000065214_1	c_000000065214	2	1303	+	1302	4
c_000000066398_1	c_000000066398	3	677	+	675	9
c_000000070189_1	c_000000070189	3	725	-	723	4
c_000000076576_1	c_000000076576	1	1506	-	1506	3
c_000000090388_3	c_000000090388	1648	4245	-	2598	0
c_000000113048_13	c_000000113048	10535	11530	-	996	0
c_000000187422_1	c_000000187422	2	1078	+	1077	10
c_000000204267_4	c_000000204267	3166	4350	-	1185	0
c_000000233994_3	c_000000233994	1150	1941	-	792	0
c_000000239536_1	c_000000239536	2	526	-	525	0
c_000000243531_1	c_000000243531	2	865	-	864	0
c_000000279781_3	c_000000279781	771	2039	+	1269	0
c_000000283647_1	c_000000283647	1	750	+	750	0
c_000000287284_4	c_000000287284	1806	3815	+	2010	0
c_000000287284_5	c_000000287284	3832	4785	-	954	0
c_000000301605_2	c_000000301605	678	1742	-	1065	0
c_000000301798_2	c_000000301798	406	1389	+	984	0
c_000000323414_5	c_000000323414	3375	3995	+	621	0
c_000000323589_3	c_000000323589	1791	2546	+	756	0
c_000000352322_3	c_000000352322	4307	5215	+	909	0
c_000000427588_1	c_000000427588	22	918	-	897	0
c_000000436222_8	c_000000436222	8350	9489	+	1140	0
c_000000436547_5	c_000000436547	4246	5130	+	885	0
c_000000440151_1	c_000000440151	151	1374	+	1224	0
c_000000449353_1	c_000000449353	1	678	+	678	0
c_000000463234_1	c_000000463234	210	959	+	750	0
c_000000469559_5	c_000000469559	1421	2437	-	1017	0
c_000000491660_1	c_000000491660	3	1361	-	1359	0
c_000000502321_2	c_000000502321	1016	1978	-	963	0
c_000000513508_3	c_000000513508	840	1640	-	801	0
c_000000529215_4	c_000000529215	1012	1977	+	966	0
c_000000546805_1	c_000000546805	3	485	-	483	0
c_000000625270_1	c_000000625270	2	931	+	930	0
c_000000683694_2	c_000000683694	450	1094	+	645	0
c_000000755697_1	c_000000755697	1	687	+	687	0
c_000000778845_1	c_000000778845	2	781	-	780	0
c_000000798139_1	c_000000798139	307	606	+	300	0
c_000000803408_1	c_000000803408	1	456	+	456	0
c_000000809395_1	c_000000809395	1	1359	-	1359	0
c_000000848886_1	c_000000848886	39	977	+	939	0
c_000000882099_6	c_000000882099	6777	7484	+	708	0
c_000000890478_2	c_000000890478	545	1453	-	909	0
c_000000932471_1	c_000000932471	1	822	-	822	0
c_000000934154_1	c_000000934154	71	793	-	723	0
c_000000958262_2	c_000000958262	328	990	-	663	0
c_000000967259_1	c_000000967259	1	906	-	906	0
c_000001053943_1	c_000001053943	1	501	+	501	0
c_000001106559_2	c_000001106559	616	1686	+	1071	0
c_000001112745_1	c_000001112745	3	527	+	525	0
c_000001128756_3	c_000001128756	2183	3103	+	921	0
c_000001129371_3	c_000001129371	2410	4197	-	1788	0
c_000001133474_2	c_000001133474	262	1425	-	1164	0
c_000001143335_1	c_000001143335	3	485	-	483	0
c_000001229785_1	c_000001229785	3	608	-	606	0
c_000001250591_2	c_000001250591	255	1181	+	927	0
c_000001269840_1	c_000001269840	2	1396	-	1395	0
c_000001282588_1	c_000001282588	3	731	-	729	0
c_000001292306_1	c_000001292306	3	626	-	624	0
c_000001295510_1	c_000001295510	2	961	+	960	0
