# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/contigs-fixed.saf" "-F" "SAF" "-o" "/home/jasper/OneDrive/Thesis/Plastic_tool/temps/ab-hydrolase/ab-hydrolase_GC125648.bam_counts.out" "/home/jasper/Test_data/GC125648.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/jasper/Test_data/GC125648.bam
c_000000000140_1	c_000000000140	2	226	-	225	11
c_000000000315_1	c_000000000315	2	283	-	282	0
c_000000001067_4	c_000000001067	905	1306	+	402	0
c_000000001818_3	c_000000001818	1781	2578	-	798	0
c_000000002986_1	c_000000002986	2	796	+	795	1
c_000000002999_2	c_000000002999	560	988	+	429	0
c_000000003448_1	c_000000003448	31	795	-	765	22
c_000000003848_1	c_000000003848	2	862	-	861	2
c_000000003882_1	c_000000003882	3	257	-	255	9
c_000000004480_1	c_000000004480	2	337	+	336	4
c_000000005901_1	c_000000005901	3	359	-	357	0
c_000000006387_2	c_000000006387	575	889	+	315	0
c_000000006665_1	c_000000006665	3	452	-	450	16
c_000000006952_1	c_000000006952	3	413	-	411	41
c_000000007161_1	c_000000007161	2	496	-	495	10
c_000000007187_2	c_000000007187	730	1536	+	807	41
c_000000007769_1	c_000000007769	112	753	-	642	9
c_000000007777_2	c_000000007777	1202	2029	+	828	0
c_000000007981_1	c_000000007981	1	579	+	579	23
c_000000008133_2	c_000000008133	1294	1986	-	693	0
c_000000008675_1	c_000000008675	2	946	+	945	2
c_000000009744_1	c_000000009744	3	605	-	603	0
c_000000010972_2	c_000000010972	356	1135	-	780	0
c_000000011338_1	c_000000011338	3	449	+	447	4
c_000000011751_7	c_000000011751	5372	6271	-	900	0
c_000000012472_1	c_000000012472	1	876	+	876	0
c_000000013945_1	c_000000013945	2	976	+	975	0
c_000000013955_3	c_000000013955	892	1788	+	897	0
c_000000014730_1	c_000000014730	1	570	+	570	2
c_000000014898_1	c_000000014898	1	396	-	396	0
c_000000015862_5	c_000000015862	2825	3715	+	891	0
c_000000017225_2	c_000000017225	252	1064	-	813	13
c_000000017328_1	c_000000017328	1	312	-	312	0
c_000000017783_3	c_000000017783	1517	2287	+	771	0
c_000000018018_1	c_000000018018	2	400	-	399	8
c_000000018182_1	c_000000018182	1	372	-	372	2
c_000000018665_1	c_000000018665	3	212	-	210	2
c_000000019048_1	c_000000019048	3	326	-	324	0
c_000000019355_6	c_000000019355	2898	3695	+	798	0
c_000000019435_1	c_000000019435	3	683	-	681	2
c_000000019942_1	c_000000019942	1	438	+	438	0
c_000000020004_1	c_000000020004	1	300	-	300	2
c_000000020113_2	c_000000020113	187	1065	-	879	17
c_000000020441_2	c_000000020441	288	1010	+	723	39
c_000000020543_1	c_000000020543	2	625	+	624	4
c_000000020767_12	c_000000020767	11906	12805	-	900	0
c_000000020767_13	c_000000020767	12865	13890	+	1026	0
c_000000021024_5	c_000000021024	4146	4856	-	711	0
c_000000021617_2	c_000000021617	186	950	+	765	0
c_000000021694_1	c_000000021694	1	282	-	282	0
c_000000021946_4	c_000000021946	3613	4518	+	906	0
c_000000022084_2	c_000000022084	79	801	-	723	8
c_000000022467_3	c_000000022467	1672	2454	+	783	0
c_000000023477_2	c_000000023477	365	889	+	525	5
c_000000023889_1	c_000000023889	2	451	-	450	6
c_000000024767_1	c_000000024767	29	496	+	468	3
c_000000024817_5	c_000000024817	2323	2985	-	663	0
c_000000025968_1	c_000000025968	3	746	-	744	0
c_000000026218_2	c_000000026218	317	946	+	630	0
c_000000026412_1	c_000000026412	1	684	-	684	1
c_000000027022_7	c_000000027022	6216	7220	-	1005	0
c_000000028746_1	c_000000028746	88	735	-	648	2
c_000000029282_1	c_000000029282	3	539	-	537	4
c_000000029313_1	c_000000029313	2	886	-	885	32
c_000000029508_1	c_000000029508	2	190	-	189	0
c_000000029623_2	c_000000029623	2181	3014	+	834	0
c_000000030130_1	c_000000030130	3	269	-	267	0
c_000000030653_1	c_000000030653	3	449	+	447	0
c_000000031658_1	c_000000031658	1	444	+	444	8
c_000000032126_1	c_000000032126	3	371	+	369	3
c_000000032511_1	c_000000032511	1	351	-	351	5
c_000000032888_1	c_000000032888	2	712	+	711	2
c_000000033465_7	c_000000033465	5896	6372	+	477	0
c_000000033566_3	c_000000033566	485	856	+	372	0
c_000000034498_1	c_000000034498	2	382	-	381	0
c_000000034779_1	c_000000034779	3	644	-	642	0
c_000000034965_1	c_000000034965	2	334	-	333	0
c_000000035685_1	c_000000035685	43	954	-	912	17
c_000000036180_5	c_000000036180	2651	3526	+	876	0
c_000000037880_3	c_000000037880	1987	2955	-	969	0
c_000000038075_3	c_000000038075	1040	1924	+	885	24
c_000000038169_1	c_000000038169	2	244	+	243	9
c_000000038808_1	c_000000038808	3	431	-	429	5
c_000000039014_1	c_000000039014	3	521	-	519	6
c_000000039573_2	c_000000039573	197	1165	-	969	0
c_000000039929_1	c_000000039929	1	540	+	540	2
c_000000040513_1	c_000000040513	1	426	+	426	0
c_000000041117_1	c_000000041117	3	659	-	657	0
c_000000041404_1	c_000000041404	1	714	+	714	9
c_000000041546_4	c_000000041546	1624	2214	+	591	0
c_000000042183_2	c_000000042183	622	2037	-	1416	0
c_000000042309_1	c_000000042309	1	429	-	429	4
c_000000042566_1	c_000000042566	3	335	+	333	4
c_000000044106_1	c_000000044106	1	585	+	585	74
c_000000044183_5	c_000000044183	1413	2309	+	897	0
c_000000044257_2	c_000000044257	1025	1678	-	654	0
c_000000044257_3	c_000000044257	1675	2583	-	909	0
c_000000044416_2	c_000000044416	844	1743	-	900	0
c_000000044624_3	c_000000044624	1458	3827	-	2370	0
c_000000045074_1	c_000000045074	3	305	-	303	22
c_000000046193_1	c_000000046193	3	548	-	546	0
c_000000046980_1	c_000000046980	2	433	+	432	14
c_000000047290_9	c_000000047290	6053	6907	-	855	0
c_000000047683_2	c_000000047683	918	1724	+	807	18
c_000000047700_6	c_000000047700	3227	4030	+	804	0
c_000000048368_6	c_000000048368	3978	4802	-	825	0
c_000000048488_1	c_000000048488	2	763	+	762	1
c_000000048692_2	c_000000048692	149	1012	-	864	56
c_000000048800_2	c_000000048800	1230	2105	+	876	0
c_000000049263_1	c_000000049263	89	880	+	792	2
c_000000049291_8	c_000000049291	4267	5019	+	753	0
c_000000049788_2	c_000000049788	308	1387	-	1080	14
c_000000050269_4	c_000000050269	1752	2507	-	756	0
c_000000050644_11	c_000000050644	8811	9656	+	846	6
c_000000050834_1	c_000000050834	1	405	+	405	6
c_000000051351_1	c_000000051351	1	807	-	807	2
c_000000051820_1	c_000000051820	1	723	+	723	3
c_000000052162_2	c_000000052162	102	1451	-	1350	23
c_000000052859_1	c_000000052859	1	480	-	480	8
c_000000052918_2	c_000000052918	436	1176	+	741	3
c_000000052927_1	c_000000052927	2	409	+	408	0
c_000000053046_6	c_000000053046	2701	3588	-	888	0
c_000000053438_2	c_000000053438	743	1645	-	903	0
c_000000054030_4	c_000000054030	2350	3327	-	978	0
c_000000054279_1	c_000000054279	1	483	-	483	6
c_000000054462_4	c_000000054462	2882	3172	+	291	0
c_000000054917_3	c_000000054917	1243	2157	+	915	0
c_000000056004_1	c_000000056004	1	684	+	684	6
c_000000056135_1	c_000000056135	3	1493	-	1491	4
c_000000057322_2	c_000000057322	231	1013	-	783	0
c_000000057666_1	c_000000057666	2	181	+	180	1
c_000000057735_1	c_000000057735	2	835	+	834	2
c_000000057735_2	c_000000057735	832	1863	+	1032	0
c_000000057735_6	c_000000057735	4889	5794	+	906	0
c_000000057771_2	c_000000057771	457	2556	+	2100	0
c_000000058271_2	c_000000058271	222	1139	-	918	0
c_000000059130_1	c_000000059130	48	476	+	429	4
c_000000059271_5	c_000000059271	3602	4516	-	915	0
c_000000059303_1	c_000000059303	3	407	-	405	7
c_000000059751_1	c_000000059751	180	692	+	513	2
c_000000060059_1	c_000000060059	1	573	+	573	5
c_000000060493_3	c_000000060493	362	1258	-	897	0
c_000000060820_1	c_000000060820	3	473	+	471	0
c_000000060834_1	c_000000060834	1	702	-	702	4
c_000000061282_2	c_000000061282	288	1151	+	864	5
c_000000061462_1	c_000000061462	1	690	-	690	0
c_000000061651_1	c_000000061651	2	574	-	573	6
c_000000061778_1	c_000000061778	43	888	+	846	15
c_000000061913_1	c_000000061913	3	326	-	324	15
c_000000062103_1	c_000000062103	2	352	+	351	0
c_000000062858_1	c_000000062858	2	388	-	387	0
c_000000063036_1	c_000000063036	3	353	+	351	1
c_000000063728_2	c_000000063728	413	1144	-	732	0
c_000000063765_2	c_000000063765	173	661	+	489	3
c_000000064580_1	c_000000064580	69	362	+	294	7
c_000000064733_1	c_000000064733	2	271	+	270	9
c_000000065024_1	c_000000065024	2	520	-	519	5
